01-08 01:24:14.250 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.250 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.251 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.251 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.252 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.252 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.253 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.253 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.276 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.552 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.553 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.554 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.554 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.554 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.556 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.556 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.557 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.814 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.815 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.817 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.818 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.820 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.821 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.822 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:14.823 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.079 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0

01-08 01:24:15.081 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:1,isCodecConfig:0
01-08 01:24:15.084 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.086 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.088 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.089 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.090 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.091 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.348 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.348 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.349 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.349 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.349 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.349 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.349 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.350 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.384 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.645 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.645 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.646 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.647 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.650 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.650 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.651 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.652 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.781 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
01-08 01:24:15.782 D/MPEG4Writer(13678): [threadEntry],[4083] [isMinor:0], [mIsAudio:0] mDataCallBack==-1240009531,kKeyIsSyncFrame:0,isCodecConfig:0
^C^C
D:\Downloads\Console-2.00b148-Beta_32bit\Console2>
